"Event","Unit","Time","Track","Channel","NoteName","NoteNumber","NoteUnits","NoteDuration","NoteOnVelocity","NoteOffVelocity","ControllerNr","ControllerValue","TextType","Text","Program","TempoBPM","TempoMicroseconds","Pitchbend","Aftertouch","MeterNom","MeterDenom","MeterUnits","MeterNote32","Resolution","MIDIVersion","Sysex","MetaType","MetaData","Key","PolyKey","PolyValue","RealtimeEvent","RealtimeValue",
"NoteOn",2181,5143,4,1,"g4",55,34,81,65,
"NoteOn",2183,5148,4,1,"a#4",58,31,73,76,
"NoteOff",2214,5221,4,1,"a#4",58,,,,0
"NoteOff",2215,5224,4,1,"g4",55,,,,0
"NoteOff",2217,5228,4,1,"c5",60,,,,0
"NoteOff",2219,5233,4,1,"f5",65,,,,0
"NoteOff",2245,5294,3,10,"f#3",42,,,,0
"NoteOff",2250,5306,3,10,"d#4",51,,,,0
"NoteOff",2282,5382,2,2,"g#2",32,,,,0
"NoteOn",2332,5499,3,10,"b2",35,73,173,13,
"NoteOn",2340,5518,3,10,"d#4",51,73,173,70,
"NoteOn",2360,5566,4,1,"c7",84,77,181,62,
"NoteOn",2389,5634,2,2,"g#2",32,405,955,79,
"NoteOff",2405,5672,3,10,"b2",35,,,,0
"NoteOn",2405,5672,3,10,"f#3",42,80,188,70,
"NoteOn",2410,5683,3,10,"d#4",51,80,189,70,
"NoteOff",2413,5691,3,10,"d#4",51,,,,0
"NoteOn",2417,5700,4,1,"d#6",75,31,73,77,
"NoteOn",2418,5702,4,1,"d#7",87,37,88,82,
"NoteOn",2420,5707,4,1,"f5",65,50,118,54,
"NoteOn",2420,5707,4,1,"g#6",80,24,57,76,
"NoteOn",2422,5712,4,1,"c5",60,42,99,51,
"NoteOn",2428,5726,4,1,"g4",55,37,87,45,
"NoteOn",2428,5726,4,1,"a#4",58,34,80,67,
"NoteOff",2437,5747,4,1,"c7",84,,,,0
"NoteOff",2444,5764,4,1,"g#6",80,,,,0
"NoteOff",2448,5773,4,1,"d#6",75,,,,0
"NoteOff",2455,5790,4,1,"d#7",87,,,,0
"NoteOff",2462,5806,4,1,"a#4",58,,,,0
"NoteOff",2464,5811,4,1,"c5",60,,,,0
"NoteOff",2465,5813,4,1,"g4",55,,,,0
"NoteOff",2470,5825,4,1,"f5",65,,,,0
"NoteOff",2485,5860,3,10,"f#3",42,,,,0
"NoteOff",2490,5872,3,10,"d#4",51,,,,0
"NoteOn",2639,6224,4,1,"f5",65,52,122,63,
"NoteOn",2642,6231,3,10,"c#3",37,35,82,85,
"NoteOn",2643,6233,4,1,"f7",89,59,139,72,
"NoteOn",2645,6238,3,10,"f#3",42,80,188,80,
"NoteOn",2646,6240,4,1,"g4",55,31,73,53,
"NoteOn",2647,6242,4,1,"c5",60,33,78,59,
"NoteOn",2647,6242,4,1,"f6",77,61,144,60,
"NoteOn",2649,6247,4,1,"a#4",58,36,85,78,
"NoteOn",2650,6249,3,10,"d#4",51,80,189,70,
"NoteOff",2677,6313,3,10,"c#3",37,,,,0
"NoteOff",2677,6313,4,1,"g4",55,,,,0
"NoteOff",2680,6320,4,1,"c5",60,,,,0
"NoteOff",2685,6332,4,1,"a#4",58,,,,0
"NoteOff",2691,6346,4,1,"f5",65,,,,0
"NoteOff",2702,6372,4,1,"f7",89,,,,0
"NoteOff",2708,6386,4,1,"f6",77,,,,0
"NoteOff",2725,6426,3,10,"f#3",42,,,,0
"NoteOff",2730,6438,3,10,"d#4",51,,,,0
"NoteOff",2794,6589,2,2,"g#2",32,,,,0
"NoteOn",2812,6632,3,10,"b2",35,73,172,22,
"NoteOn",2827,6667,3,10,"d#4",51,73,172,70,
"NoteOn",2878,6787,4,1,"f#6",78,42,99,84,
"NoteOn",2878,6787,4,1,"c#7",85,36,85,80,
"NoteOn",2879,6790,4,1,"c#5",61,59,139,66,
"NoteOn",2883,6799,2,2,"b2",35,397,936,72,
"NoteOff",2885,6804,3,10,"b2",35,,,,0
"NoteOn",2885,6804,3,10,"b2",35,80,188,13,
"NoteOn",2885,6804,3,10,"f#3",42,80,188,70,
"NoteOn",2885,6804,4,1,"f#5",66,43,101,79,
"NoteOn",2885,6804,4,1,"d5",62,51,120,66,
"NoteOn",2888,6811,4,1,"f#7",90,65,153,98,
"NoteOn",2890,6816,3,10,"d#4",51,80,188,70,
"NoteOn",2890,6816,4,1,"a4",57,47,110,73,
"NoteOff",2900,6839,3,10,"d#4",51,,,,0
"NoteOn",2906,6853,4,1,"d7",86,47,111,72,
"NoteOff",2914,6872,4,1,"c#7",85,,,,0
"NoteOff",2920,6886,4,1,"f#6",78,,,,0
"NoteOff",2928,6905,4,1,"f#5",66,,,,0
"NoteOff",2936,6924,4,1,"d5",62,,,,0
"NoteOff",2937,6926,4,1,"a4",57,,,,0
"NoteOff",2938,6929,4,1,"c#5",61,,,,0
"NoteOff",2953,6964,4,1,"f#7",90,,,,0
"NoteOff",2953,6964,4,1,"d7",86,,,,0
"NoteOff",2965,6992,3,10,"b2",35,,,,0
"NoteOff",2965,6992,3,10,"f#3",42,,,,0
"NoteOff",2970,7004,3,10,"d#4",51,,,,0
"NoteOn",3052,7198,3,10,"d3",38,73,172,40,
"NoteOn",3124,7367,4,1,"c#5",61,56,132,64,
"NoteOff",3125,7370,3,10,"d3",38,,,,0
"NoteOn",3125,7370,3,10,"f#3",42,80,188,80,
"NoteOn",3130,7382,3,10,"d#4",51,80,188,70,
"NoteOn",3130,7382,4,1,"a4",57,46,108,65,
"NoteOn",3132,7386,4,1,"d5",62,42,99,71,
"NoteOn",3135,7393,4,1,"f#5",66,43,102,54,
"NoteOff",3174,7485,4,1,"d5",62,,,,0
"NoteOff",3176,7490,4,1,"a4",57,,,,0
